01.04.2016,11:07:17,OL,172.3,OL,OL
01.04.2016,11:07:19,OL,171.9,OL,OL
01.04.2016,11:07:21,OL,171.4,OL,OL
01.04.2016,11:07:23,OL,171.3,OL,OL
01.04.2016,11:07:25,OL,171.5,OL,OL
01.04.2016,11:07:27,OL,172.3,OL,OL
01.04.2016,11:07:29,OL,172.5,OL,OL
01.04.2016,11:07:31,OL,172.6,OL,OL
01.04.2016,11:07:33,OL,172.8,OL,OL
01.04.2016,11:07:35,OL,173.3,OL,OL
01.04.2016,11:07:37,OL,172.9,OL,OL
01.04.2016,11:07:39,OL,173.5,OL,OL
01.04.2016,11:07:41,OL,172.8,OL,OL
01.04.2016,11:07:43,OL,173.6,OL,OL
01.04.2016,11:07:45,OL,172.9,OL,OL
01.04.2016,11:07:47,OL,172.6,OL,OL
01.04.2016,11:07:49,OL,172.5,OL,OL
01.04.2016,11:07:51,OL,172.7,OL,OL
01.04.2016,11:07:53,OL,172.5,OL,OL
01.04.2016,11:07:55,OL,172.5,OL,OL
01.04.2016,11:07:57,OL,172.4,OL,OL
01.04.2016,11:07:59,OL,172.9,OL,OL
01.04.2016,11:08:01,OL,172.7,OL,OL
01.04.2016,11:08:03,OL,172.2,OL,OL
01.04.2016,11:08:05,OL,171.9,OL,OL
01.04.2016,11:08:07,OL,171.9,OL,OL
